Algorithm: Prim's MST
MST edges:
0 25212 7
0 57505 10
0 16 22
57505 45354 22
45354 96752 1
45354 29227 20
0 95 25
95 7879 2
16 57676 26
16 95331 27
95331 71620 6
71620 66942 21
66942 8753 6
8753 16133 26
8753 10340 27
10340 49261 8
10340 2352 23
2352 63293 18
63293 97244 19
49261 3490 27
3490 292 10
292 423 5
423 77168 4
423 4296 5
423 965 7
965 6481 11
6481 9807 8
6481 18620 13
18620 34675 6
77168 83641 18
83641 40824 6
965 41065 19
41065 2336 23
2336 44182 9
2336 604 23
604 3128 7
604 2725 9
2725 4140 2
2725 19406 4
2725 23002 8
19406 25294 11
25294 80310 10
23002 69643 13
4140 41309 14
4140 85014 16
19406 26089 19
26089 45095 9
45095 44841 6
44841 15743 3
26089 35730 15
15743 11155 16
23002 54267 19
54267 27151 17
27151 78152 17
45095 45425 22
45425 24358 20
69643 47090 23
47090 78540 1
47090 63905 2
63905 80660 7
47090 60246 10
40824 76773 23
76773 57944 8
80660 15829 24
4296 6476 25
6476 8395 7
6476 25777 17
6476 94249 20
25777 13527 24
13527 95626 1
13527 27245 12
95626 38222 12
13527 12237 23
12237 9141 6
38222 81305 23
2336 8663 25
8663 14937 16
8663 69752 20
69752 5449 1
5449 75897 12
5449 575 21
575 45984 21
45984 56855 10
45984 77939 19
5449 21699 22
21699 27155 4
21699 82430 4
21699 22283 5
22283 71590 15
21699 86454 15
82430 96788 17
96788 73962 12
86454 64102 18
27155 80396 21
22283 77066 24
82430 1904 25
1904 77623 11
1904 44580 22
35730 54245 25
54245 30329 1
30329 34812 8
54245 41361 12
30329 18216 13
18216 71548 6
18216 51798 11
71548 29988 18
34812 89611 18
34812 6861 22
6861 13310 8
54245 25370 22
6861 73328 23
73328 82821 22
82821 82334 8
82334 17329 14
17329 9727 19
9727 80826 10
17329 56193 23
56193 69669 1
69669 51192 8
56193 29828 12
51192 21479 22
21479 37882 8
21479 37209 11
37209 45478 9
45478 81800 18
17329 74917 23
13310 84541 23
9727 54 24
54 378 22
378 1341 10
1341 61867 24
378 31934 25
31934 38740 15
38740 51479 16
51479 15277 2
15277 33081 6
33081 71885 15
82334 92590 25
92590 12254 1
12254 11230 2
11230 66418 2
12254 93199 8
11230 35410 12
12254 51281 24
51281 75348 12
9807 9800 26
9800 85552 9
25294 14285 26
14285 71910 5
18216 74027 26
74027 2404 15
2404 4706 3
2404 8526 3
8526 30405 1
30405 58872 9
58872 87185 18
87185 38814 18
8526 91044 20
58872 13764 23
13764 33410 10
13764 99300 10
75897 5664 27
5664 49432 15
49432 57111 20
57111 70060 12
5664 12431 21
12431 31060 6
31060 71539 8
31060 33218 21
70060 4047 23
29828 17384 27
40824 42469 27
42469 65574 21
5449 58465 27
80396 88342 27
88342 83914 4
83914 45198 17
5449 97652 27
1904 4182 28
4182 51105 1
4182 26889 11
26889 3245 3
26889 87296 9
4140 12336 28
12336 99585 4
99585 32421 10
32421 22622 1
22622 46459 1
22622 66662 3
12336 21465 11
46459 93521 14
46459 23122 20
21465 33407 20
46459 47751 22
47751 82730 20
47751 60781 22
99585 48133 23
48133 71160 17
71160 90737 21
12336 69304 26
85552 73979 28
73979 16745 17
16745 92325 3
73979 5907 19
5907 3019 5
3019 29751 7
29751 49557 11
3019 98889 13
98889 32676 2
32676 51614 9
51614 61153 4
