Algorithm: Kruskal's MST
MST edges:
2354 9256 1
496 7247 1
1809 6872 1
737 1804 1
3070 7012 1
2886 7475 1
2207 7200 1
85 436 1
4723 7348 1
370 9000 1
7284 7871 1
1366 9573 1
4240 6806 1
1855 3234 1
1493 6498 1
7037 9220 1
488 956 1
2209 3368 1
4367 9977 1
3490 6466 1
4599 7651 1
4484 7959 1
1097 4353 1
6497 9134 1
8029 8823 1
3488 8114 1
2902 5031 1
1650 5362 1
231 9052 1
1781 1876 1
1831 6896 1
144 8358 1
2864 9437 1
3685 8057 1
662 3981 1
1075 2075 1
5359 8693 1
6469 9400 1
363 2607 1
1290 7920 1
1743 2488 1
36 879 1
3505 8090 1
5882 7634 1
3959 8114 1
6474 7967 1
2204 2639 1
498 8808 1
2508 9203 1
2724 3230 1
2612 5786 1
150 7031 1
3794 9779 1
6531 8115 1
1281 9804 1
5323 9787 1
6522 7733 1
1593 6913 1
1253 6141 1
3830 7462 1
2914 3061 1
2475 9429 1
605 1159 1
2630 9885 1
3199 3334 1
4122 9587 1
3828 8750 1
2918 6434 1
2379 5530 1
2919 5913 1
3838 5835 1
3927 7589 1
1749 6527 1
767 2067 1
6317 6507 1
648 2506 1
838 8598 1
4464 6654 1
3655 8795 1
1398 9981 1
376 3482 1
4370 8386 1
3668 4218 1
27 713 1
650 4572 1
2492 5373 1
378 4199 1
3665 5038 1
3361 5731 1
1104 8093 1
1554 6202 1
3604 9786 1
3088 6039 1
479 1900 1
6507 8140 1
3193 6686 1
5474 9425 1
4825 5323 1
850 9052 1
1108 1182 1
5244 5255 1
1891 6948 1
3249 4656 1
4815 9864 1
87 5908 1
1421 3481 1
7102 8739 1
329 1028 1
4067 5096 1
7650 8500 1
1730 9581 1
1305 4052 1
693 6745 1
330 8881 1
2148 4635 1
1239 4611 1
5007 6957 1
1033 2871 1
2795 6599 1
6851 7721 1
3133 4005 1
892 7132 1
1694 1871 1
3746 9849 1
3275 8888 1
6216 8258 1
4692 8970 1
3575 5917 1
4576 5458 1
4672 7741 1
1339 7095 1
